模組,功能,目前用途,白話說明,資料標準,介面標準,下一版設計標準,改版注意
全域,設計原則,整體遊戲與後台,"這是一個 Discord-first 的養成遊戲，玩家主要用按鈕、面板、少量指令操作。","所有功能都要有明確資料來源，避免前端硬編數值。","同一功能的名稱、按鈕、提示文案要一致。","下一版所有功能要先定義用途，再決定畫面與資料欄位。","改版前先看這份，不要直接改程式"
全域,資料來源,玩家/怪物/道具/任務/設定,"遊戲內容都來自後台資料庫，不應在前端硬編數值。","怪物、道具、任務、職業、版位都應以資料庫為準。","前台只負責顯示與互動，不負責決定規則。","新增內容先補資料表，再補畫面。","避免前後端各寫一套"
全域,版本標準,下一版修改依據,"這份 CSV 會當作改版共同標準。","功能、資料、權限、獎勵都要能追蹤。","任何新畫面都要能對應到功能名稱。","新版本若要刪改功能，先標記用途再決定保留或重做。","不要先刪後補"
全域,命名標準,所有模組,"讓玩家和管理員都能看懂功能。","資料欄位可保留技術 key，但顯示名稱要白話。","按鈕、標題、說明要盡量一致。","下一版要避免同一件事有兩個說法。","名稱越少越好"
帳號,自動建檔,首次互動建立玩家資料,"玩家第一次進系統就自動建立帳號，不用先註冊。","玩家資料、錢包、進度要在第一次互動時自動補齊。","不要要求新手先填繁瑣表單。","維持零門檻進入。","新入口都不能破壞這點"
帳號,直播綁定,把直播身分對應到 Discord 玩家,"讓系統知道直播聊天室的 `!打卡` 是誰在用。","綁定結果要能回查到 Discord ID 與直播帳號。","流程要有綁定碼與確認提示。","下一版要把綁定流程做得更清楚。","與打卡和會員分級相關"
帳號,玩家狀態,啟用/停用玩家,"管理員可停用玩家，避免異常帳號繼續操作。","玩家狀態至少要有 active / disabled。","查詢時要清楚顯示是否停用。","下一版所有管理畫面都要看得到狀態。","停用不等於刪除"
玩家,玩家面板,玩家主要入口,"玩家用這裡進入自己的功能，不靠背指令。","玩家功能按鈕應集中在同一個主面板。","第一層入口要少而清楚。","下一版玩家面板要當成主要導航。","玩家常用功能優先"
玩家,我的資料,查看角色總覽,"顯示玩家等級、屬性、職業、金幣、鑽石等基本資訊。","資料來源是玩家進度、錢包、裝備計算結果。","資訊要精簡，先顯示最重要的數字。","下一版維持一眼看懂。","不要塞太多裝飾文案"
玩家,我的錢包,查看金幣與鑽石,"玩家快速看自己有多少錢。","至少包含 gold 與 diamond。","使用清楚的大數字顯示。","保留為高頻查詢入口。","幣種不要混寫"
玩家,交易紀錄,查看金幣/鑽石變動,"讓玩家知道錢是怎麼進出、哪裡來、花到哪裡去。","交易記錄要能查來源、方向、數量、結算後餘額。","最近紀錄要一眼可讀。","下一版保留稽核感與客服查詢能力。","避免爭議"
玩家,打卡狀態,查看今日打卡與歷史,"顯示今天有沒有打卡，最近幾天打卡情況如何。","要有今日狀態與最近歷史。","提醒玩家是否已完成。","保留每日習慣追蹤。","跟每日任務連動"
玩家,背包,管理所有道具,"玩家能看、用、丟掉自己拿到的東西。","背包需支援 itemType、tier、equipSlot、stackCount。","分類要明顯，操作按鈕不要太多。","下一版要把背包當成主要物品中心。","道具說明要一致"
玩家,裝備欄,管理身上裝備,"玩家把武器、防具、徽章裝到身上，直接影響戰鬥。","裝備欄位要固定且可回存。","裝備前後差異要能看出來。","下一版要強調裝上後變強什麼。","戰鬥數值核心"
玩家,裝備強化,強化武器與防具,"用寶石和金幣把裝備升級，成功後數值變高。","強化要記錄品階、等級、消耗、成功率、爆裝結果。","要清楚顯示成功率與材料需求。","下一版保留風險，但文案要更清楚。","高價值功能"
玩家,任務中心,查看每日/每週/新手/職業任務,"把所有任務集中在同一個地方。","任務要能分 cadence、target、reward、unlock 條件。","要能看進度、領獎、看未解鎖原因。","下一版當成成長導引，不只是領獎頁。","引導玩家下一步"
玩家,綁定直播帳號入口,在玩家面板內建立綁定流程,"玩家可以從面板直接拿綁定碼。","綁定資料要能從面板和直播聊天室互通。","流程要少步驟。","下一版要更清楚告知用途。","會影響打卡"
戰鬥,怪物戰鬥,主 PvE 打怪玩法,"玩家在怪物區出戰、打怪、搶傷害、拿獎勵。","戰鬥需保留參戰者、傷害排行、結算結果。","要顯示怪物血量、獎勵、參戰人數。","下一版仍保留為主循環，但節奏要更清楚。","核心玩法"
戰鬥,戰鬥公式,屬性與武器影響傷害,"STR、AGI、VIT、INT、DEX、LUK 會影響命中、閃避、暴擊、格擋、傷害。","傷害、減傷、暴擊、命中、閃避都要有一致公式。","文案要能讓玩家知道為什麼打高或打低。","下一版保留公式透明化。","避免黑盒感"
戰鬥,職業徽章,11 個一轉與 13 條二轉分支,"玩家拿到徽章後，可以走不同流派；目前 11 條二轉開放、2 條鎖定。","徽章要掛在 job_eq，並可影響戰鬥。","職業定位要白話化。","下一版每個職業都要有一段容易懂的定位。","流派分歧核心；分支現況以 jobAdvancement.js 為準"
戰鬥,怪物卡片,怪物技能效果,"怪物卡提供各種戰鬥技能，例如中毒、燃燒、沉默、冰凍等。","卡片需有技能 key、觸發條件、持續時間、效果強度。","每張卡最好有一句定位。","下一版卡片說明要先讓玩家知道『拿到會發生什麼』。","收集與戰鬥結合"
戰鬥,敗北傷勢,死亡懲罰,"Lv.5 以上玩家在同怪未倒時死亡，下一場會有傷勢減益。","要能保留永久型 debuff，並在怪死或換怪時清掉。","提示要很明確，讓玩家知道這是暫時懲罰。","下一版保留，但要降低誤解。","避免誤會"
戰鬥,命中與閃避,攻擊能不能打中,"命中和閃避會決定傷害有沒有成立。","命中、閃避要從屬性和裝備計算。","失敗/閃避時要有清楚回饋。","下一版保留，但提示更直觀。","戰鬥回饋很重要"
戰鬥,格擋與反擊,盾牌與劍士特殊效果,"有些武器或職業在被打時可以格擋或反擊。","格擋、反擊都要是可追蹤效果。","要在戰鬥訊息中看得出來。","下一版讓玩家知道防守不是純減傷。","有戰術感"
戰鬥,連擊,連續打出額外傷害,"某些武器或屬性可以連擊。","要能計算連擊率與連擊傷害倍率。","要在戰鬥中顯示連擊結果。","下一版保留作為高手感機制。","匕首相關"
戰鬥,擊暈,短暫讓怪物不能動,"槌類或怪物效果會造成暈眩。","需有回合數與觸發率。","要顯示還能暈幾回合。","下一版保留控制節奏。","控場核心"
戰鬥,穿透防禦,忽略部分怪物防禦,"法杖、骰子或特殊效果可穿透防禦；斧類破防已移除。","要能把 ignore def 的效果併入計算。","要讓玩家知道這回合有穿防。","下一版保留爆發手感。","打硬皮怪重要"
戰鬥,持續傷害,中毒/燃燒/流血等,"怪物或效果會造成每回合掉血。","DOT 需有來源、回合數、強度。","要顯示持續效果還剩幾回合。","下一版要讓玩家看懂是持續傷害，不是單次傷害。","效果字典核心"
戰鬥,控制效果,沉默/冰凍/睡眠等,"怪物可讓玩家暫時不能行動或不能放技能。","控制效果需有 duration 與免疫判定。","要清楚顯示不能行動的原因。","下一版保留控制差異化。","戰鬥層次感"
