模組,功能,目前用途,白話說明,下一版設計標準,備註
全域,設計原則,整體遊戲與後台,"這是一個 Discord-first 的養成遊戲，玩家主要用按鈕、面板、少量指令操作。","所有新功能都要優先用白話、可理解、可追蹤的方式呈現；同一功能的名稱、按鈕、說明要一致。","做版本調整時先對照這份表"
全域,資料來源,玩家/怪物/道具/任務/設定,"遊戲內容都來自後台資料庫，不應在前端硬編數值。","下一版所有新增內容都要先定義資料結構，再決定 UI。","避免前後端各寫一套"
帳號,自動建檔,首次互動建立玩家資料,"玩家第一次進系統就自動建立帳號，不用先註冊。","維持零門檻進入；任何新入口都不能要求玩家先填繁瑣表單。","新手體驗核心"
帳號,直播綁定,把直播身分對應到 Discord 玩家,"讓系統知道直播聊天室的 `!打卡` 是誰在用。","下一版要把綁定流程做得更清楚，降低玩家第一次卡住的機率。","與打卡系統相關"
玩家面板,我的資料,查看角色總覽,"顯示玩家等級、屬性、職業、金幣、鑽石等基本資訊。","保留為玩家最主要的第一層入口，資訊要精簡、可一眼看懂。","核心入口"
玩家面板,我的錢包,查看金幣與鑽石,"玩家快速看自己有多少錢。","保留最簡單的餘額卡片，數字要清楚，幣種要分明。","高頻查詢"
玩家面板,交易紀錄,查看金幣/鑽石變動,"讓玩家知道錢是怎麼進出、哪裡來、花到哪裡去。","下一版要保留稽核感，清楚標示來源、方向、變動後餘額。","防止爭議"
玩家面板,打卡狀態,查看今日打卡與歷史,"顯示今天有沒有打卡，最近幾天打卡情況如何。","保留每日習慣追蹤，讓玩家知道自己有沒有漏打。","跟每日任務連動"
玩家面板,背包,管理所有道具,"玩家能看、用、丟掉自己拿到的東西。","背包要繼續做成主要物品管理中心，分類清楚、按鈕不要太亂。","道具的核心入口"
玩家面板,裝備欄,管理身上裝備,"玩家把武器、防具、徽章裝到身上，直接影響戰鬥。","下一版要讓裝備欄更直覺，強調『裝上後會變強什麼』。","戰鬥數值核心"
玩家面板,裝備強化,強化武器與防具,"用寶石和金幣把裝備升級，成功後數值變高。","保留材料消耗與成功率，但介面要更清楚顯示風險與收益。","高價值功能"
玩家面板,任務中心,查看每日/每週/新手/職業任務,"把所有任務集中在同一個地方。","任務中心要當成成長導引，不只是領獎頁，而是告訴玩家下一步該做什麼。","成長引導核心"
戰鬥,怪物戰鬥,主 PvE 打怪玩法,"玩家在怪物區出戰、打怪、搶傷害、拿獎勵。","下一版保留為最主要玩法，但每個區域要有更清楚的門檻、節奏與回饋。","主戰循環"
戰鬥,戰鬥公式,屬性與武器影響傷害,"STR、AGI、VIT、INT、DEX、LUK 會影響命中、閃避、暴擊、格擋、傷害。","保留公式透明化，讓玩家知道為什麼自己會強或弱。","需要文案化"
戰鬥,職業徽章,7 種職業特殊效果,"玩家拿到徽章後，可以走不同流派。","下一版要把每個職業定位說得更白話，避免只看數值看不懂。","流派分歧核心"
戰鬥,怪物卡片,怪物技能效果,"怪物卡提供各種戰鬥技能，例如中毒、燃燒、沉默、冰凍等。","保留卡片收集感，但效果要更好理解，最好每張卡都有一句話定位。","收集與戰鬥結合"
戰鬥,敗北傷勢,死亡懲罰,"Lv.5 以上玩家在同怪未倒時死亡，下一場會有傷勢減益。","下一版保留懲罰，但提示要更明確，讓玩家知道是暫時狀態不是永久受損。","避免誤會"
戰鬥,怪物區分級,新手區到精英區,"不同區域有不同等級門檻與怪物難度。","區域要保留階梯成長，命名和說明要更像遊戲世界，而不是後台術語。","分段體驗"
戰鬥,世界王,精英區大型 Boss,"精英區帶有世界王部位血量與限時挑戰。","保留大型活動感，但規則要更簡單，避免玩家看不懂打哪裡。","高階內容"
放置,掛機區,低操作資源玩法,"玩家不手動打怪也能拿金幣和經驗。","下一版要強調『輕鬆成長』，並讓收益、限制、上限更直觀。","留給輕量玩家"
經濟,金幣商店,買道具與補給,"玩家用金幣或鑽石換道具、圖片、裝備等。","保留商店作為資源消耗口，商品分類要更簡單，價格邏輯要統一。","經濟回收點"
經濟,拍賣場,玩家之間交易,"玩家可把裝備、卡片、強化石上架給其他人買。","下一版要把上架、定價、到期、領回流程講得更像一般市場。","玩家互動經濟"
對戰,PK 擂台,玩家對玩家對打,"兩位玩家進場後可開打，也能下注看誰會贏。","保留競技玩法，但要把等級區間、下注、獎勵與風險寫得更明白。","競技內容"
社交,個人房間面板,專用個人操作空間,"管理員可發布並鎖定頻道，讓玩家在指定空間操作。","下一版若要保留，應明確定義這是『私人操作區』而不是一般聊天頻道。","頻道權限敏感"
社交,玩家查詢面板,管理員查指定玩家,"讓管理員快速看某個玩家的資料、錢包和交易。","保留管理工具，但顯示要更適合人工查看與客服處理。","客服/稽核用途"
社交,公告面板,活動或功能公告,"用來發布遊戲資訊或活動。","下一版要統一公告格式，避免每個頻道長得不一樣。","維持訊息品質"
